Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.3,2.4,1.2,0.2,Iris-setosa
2,5.4,3.7,1.8,0.1,Iris-setosa
3,4.9,2.4,1.2,0.4,Iris-setosa
4,4.3,2.7,1.6,0.4,Iris-setosa
5,4.6,3.5,1.7,0.1,Iris-setosa
6,5.5,3.8,1.3,0.2,Iris-setosa
7,5.7,3.0,1.1,0.1,Iris-setosa
8,5.6,3.6,1.7,0.5,Iris-setosa
9,5.1,4.3,1.3,0.4,Iris-setosa
10,5.5,3.6,1.8,0.4,Iris-setosa
11,5.4,2.4,1.2,0.2,Iris-setosa
12,4.4,2.8,1.1,0.2,Iris-setosa
13,5.3,3.1,1.3,0.2,Iris-setosa
14,4.7,4.3,1.6,0.4,Iris-setosa
15,4.6,3.8,1.1,0.3,Iris-setosa
16,5.8,3.6,1.5,0.4,Iris-setosa
17,5.6,3.9,1.2,0.1,Iris-setosa
18,4.8,2.9,1.2,0.6,Iris-setosa
19,5.6,3.0,1.6,0.3,Iris-setosa
20,5.7,3.3,1.2,0.2,Iris-setosa
21,5.1,2.9,1.5,0.5,Iris-setosa
22,4.9,2.8,1.9,0.4,Iris-setosa
23,4.4,2.4,1.1,0.4,Iris-setosa
24,5.5,3.2,1.1,0.3,Iris-setosa
25,5.8,3.4,1.9,0.5,Iris-setosa
26,4.3,3.8,1.6,0.4,Iris-setosa
27,4.7,3.6,1.1,0.3,Iris-setosa
28,5.0,4.3,1.8,0.2,Iris-setosa
29,5.1,2.7,1.8,0.5,Iris-setosa
30,4.7,3.6,1.5,0.2,Iris-setosa
31,5.4,3.4,1.7,0.4,Iris-setosa
32,4.3,3.0,1.0,0.6,Iris-setosa
33,5.6,4.0,1.3,0.1,Iris-setosa
34,5.6,4.3,1.1,0.3,Iris-setosa
35,4.4,3.9,1.7,0.2,Iris-setosa
36,5.0,3.5,1.2,0.5,Iris-setosa
37,4.9,2.7,1.5,0.5,Iris-setosa
38,4.6,3.0,1.9,0.4,Iris-setosa
39,5.0,3.4,1.1,0.2,Iris-setosa
40,4.8,3.5,1.2,0.2,Iris-setosa
41,4.4,3.6,1.2,0.6,Iris-setosa
42,5.6,2.4,1.2,0.4,Iris-setosa
43,4.6,2.6,1.8,0.4,Iris-setosa
44,5.0,3.9,1.7,0.2,Iris-setosa
45,4.4,3.2,1.4,0.3,Iris-setosa
46,5.4,3.7,1.9,0.1,Iris-setosa
47,4.9,3.0,1.8,0.2,Iris-setosa
48,4.6,3.2,1.4,0.2,Iris-setosa
49,4.7,4.2,1.4,0.5,Iris-setosa
50,5.1,2.4,1.9,0.5,Iris-setosa
51,6.9,3.3,4.8,1.1,Iris-versicolor
52,5.9,2.3,3.8,1.0,Iris-versicolor
53,5.7,3.4,3.6,1.6,Iris-versicolor
54,5.9,2.6,5.0,1.8,Iris-versicolor
55,6.1,3.0,3.3,1.2,Iris-versicolor
56,6.9,2.8,4.1,1.6,Iris-versicolor
57,5.0,2.8,4.1,1.7,Iris-versicolor
58,5.2,3.3,3.2,1.1,Iris-versicolor
59,6.1,2.9,3.5,1.1,Iris-versicolor
60,6.8,2.3,4.2,1.5,Iris-versicolor
61,5.8,2.8,4.1,1.7,Iris-versicolor
62,5.3,3.0,3.5,1.3,Iris-versicolor
63,6.3,2.4,3.7,1.6,Iris-versicolor
64,5.1,2.6,5.1,1.8,Iris-versicolor
65,5.1,2.3,3.6,1.7,Iris-versicolor
66,6.7,3.2,3.8,1.1,Iris-versicolor
67,6.7,3.0,4.3,1.8,Iris-versicolor
68,6.3,2.0,4.7,1.2,Iris-versicolor
69,6.3,3.3,3.3,1.1,Iris-versicolor
70,5.1,2.8,3.6,1.5,Iris-versicolor
71,6.4,2.3,4.3,1.2,Iris-versicolor
72,5.9,3.3,4.8,1.1,Iris-versicolor
73,5.8,2.4,3.0,1.6,Iris-versicolor
74,6.2,2.4,4.6,1.4,Iris-versicolor
75,5.8,2.0,3.2,1.7,Iris-versicolor
76,6.8,2.8,4.8,1.5,Iris-versicolor
77,5.2,2.2,3.6,1.7,Iris-versicolor
78,6.6,3.2,4.9,1.2,Iris-versicolor
79,5.4,2.1,4.6,1.7,Iris-versicolor
80,5.8,2.9,3.3,1.7,Iris-versicolor
81,6.7,3.4,4.7,1.7,Iris-versicolor
82,5.0,3.0,3.7,1.7,Iris-versicolor
83,6.6,3.2,4.7,1.2,Iris-versicolor
84,6.6,2.2,4.8,1.7,Iris-versicolor
85,5.4,3.1,4.0,1.2,Iris-versicolor
86,6.6,2.3,3.0,1.2,Iris-versicolor
87,5.6,3.2,5.0,1.2,Iris-versicolor
88,6.2,2.6,5.1,1.4,Iris-versicolor
89,6.9,2.2,5.0,1.1,Iris-versicolor
90,6.9,2.4,3.2,1.3,Iris-versicolor
91,6.4,2.4,4.3,1.4,Iris-versicolor
92,5.7,2.8,3.5,1.6,Iris-versicolor
93,4.9,3.3,4.1,1.6,Iris-versicolor
94,6.5,2.9,3.8,1.1,Iris-versicolor
95,6.3,2.5,3.7,1.7,Iris-versicolor
96,6.4,2.4,3.6,1.3,Iris-versicolor
97,5.7,2.4,3.3,1.3,Iris-versicolor
98,6.9,2.9,4.9,1.5,Iris-versicolor
99,5.5,2.8,3.0,1.2,Iris-versicolor
100,5.8,2.8,4.4,1.4,Iris-versicolor
